Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GBT,Global Blood Therapeutics Inc. Common Stock,$42.96,0.26,0.609%,2670258706.00,United States,2015,154544,Health Care,Major Pharmaceuticals
GH,Guardant Health Inc. Common Stock,$144.00,2.48,1.752%,14461471296.00,United States,2018,139030,Health Care,Medical Specialities
GILD,Gilead Sciences Inc. Common Stock,$64.43,0.35,0.546%,80962297041.00,United States,1992,2868840,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GLPG,Galapagos NV American Depositary Shares,$81.3675,0.8875,1.103%,5322391951.00,Belgium,2015,67079,Health Care,Major Pharmaceuticals
GMAB,Genmab A/S ADS,$32.85,0.57,1.766%,21497646083.00,Denmark,2019,288367,Health Care,Major Pharmaceuticals
GRFS,Grifols S.A. American Depositary Shares,$16.1308,-0.0792,-0.489%,11042222095.00,Spain,,249646,Health Care,Major Pharmaceuticals
HALO,Halozyme Therapeutics Inc. Common Stock,$43.28,0.47,1.098%,5854761726.00,United States,,825474,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HCM,Hutchison China MediTech Limited American Depositary Shares,$28.545,-0.085,-0.297%,4154566125.00,Hong Kong,2016,13718,Health Care,Major Pharmaceuticals
HCSG,Healthcare Services Group Inc. Common Stock,$28.88,0.12,0.417%,2157826960.00,United States,1983,336394,Health Care,Hospital/Nursing Management
HOLX,Hologic Inc. Common Stock,$71.345,0.545,0.77%,18382880550.00,United States,1990,442607,Health Care,Medical Electronics
HSIC,Henry Schein Inc. Common Stock,$66.82,-0.87,-1.285%,9519450494.00,United States,1995,260298,Health Care,Medical Specialities
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$89.01,0.86,0.976%,19944862255.00,Ireland,2011,339439,Health Care,Major Pharmaceuticals
IART,Integra LifeSciences Holdings Corporation Common Stock,$67.00,0.51,0.767%,5652786382.00,United States,,75542,Health Care,Medical/Dental Instruments
IBRX,ImmunityBio Inc. Common Stock,$34.80,0.44,1.281%,3805191140.00,United States,2015,343906,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ICLR,ICON plc Ordinary Shares,$184.86,1.99,1.088%,9758406872.00,Ireland,1998,115369,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ICUI,ICU Medical Inc. Common Stock,$205.86,1.94,0.951%,4351585403.00,United States,1992,23669,Health Care,Medical/Dental Instruments
IDXX,IDEXX Laboratories Inc. Common Stock,$481.45,-3.02,-0.623%,41128386216.00,United States,1991,190928,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
IGMS,IGM Biosciences Inc. Common Stock,$89.84,6.71,8.072%,2867855860.00,United States,2019,119095,Health Care,Major Pharmaceuticals
INCY,Incyte Corp. Common Stock,$78.79,0.54,0.69%,17321469129.00,United States,,486771,Health Care,Biotechnology: Commercial Physical & Biological Resarch
INMD,InMode Ltd. Ordinary Shares,$70.145,0.445,0.638%,2678897243.00,Israel,2019,168387,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
INNV,InnovAge Holding Corp. Common Stock,$25.02,-0.30,-1.185%,3807623164.00,United States,2021,5162,Health Care,Medical/Nursing Services
INO,Inovio Pharmaceuticals Inc. Common Stock,$10.17,0.33,3.354%,2111623379.00,United States,,3247515,Health Care,Medical/Dental Instruments
INSM,Insmed Inc. Common Stock,$37.48,1.05,2.882%,3862064646.00,United States,,473433,Health Care,Major Pharmaceuticals
IONS,Ionis Pharmaceuticals Inc. Common Stock,$53.87,1.07,2.027%,7588247307.00,United States,,166664,Health Care,Major Pharmaceuticals
IRTC,iRhythm Technologies Inc. Common Stock,$139.825,8.735,6.663%,4077389285.00,United States,2016,257729,Health Care,Medical/Dental Instruments
ISRG,Intuitive Surgical Inc. Common Stock,$705.00,5.68,0.812%,83456581650.00,United States,2000,225900,Health Care,Industrial Specialties
ITCI,Intra-Cellular Therapies Inc. Common Stock,$34.83,-0.21,-0.599%,2818339563.00,United States,,394470,Health Care,Major Pharmaceuticals
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$170.42,0.79,0.466%,9598980803.00,Ireland,2007,167713,Health Care,Major Pharmaceuticals
LEGN,Legend Biotech Corporation American Depositary Shares,$26.25,-0.02,-0.076%,3392617016.00,United States,2020,55873,Health Care,Major Pharmaceuticals
LHCG,LHC Group Common Stock,$192.895,-2.525,-1.292%,6094388864.00,United States,2005,132156,Health Care,Medical/Nursing Services
LIVN,LivaNova PLC Ordinary Shares,$75.57,-0.14,-0.185%,3677495330.00,United Kingdom,,212105,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MASI,Masimo Corporation Common Stock,$222.425,-0.315,-0.141%,12292664386.00,United States,2007,156268,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MEDP,Medpace Holdings Inc. Common Stock,$162.83,1.88,1.168%,5824703143.00,United States,2016,121618,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MGLN,Magellan Health Inc. Common Stock,$93.44,0.09,0.096%,2426223702.00,United States,,171826,Health Care,Hospital/Nursing Management
MMSI,Merit Medical Systems Inc. Common Stock,$56.30,-0.79,-1.384%,3135384665.00,United States,,253594,Health Care,Medical/Dental Instruments
MOR,MorphoSys AG American Depositary Shares,$23.18,0.72,3.206%,3037380359.00,Germany,2018,23073,Health Care,Major Pharmaceuticals
MRNA,Moderna Inc. Common Stock,$143.045,1.585,1.12%,57293153983.00,United States,2018,2590955,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRTX,Mirati Therapeutics Inc. Common Stock,$177.57,-0.23,-0.129%,8991076006.00,United States,,220101,Health Care,Major Pharmaceuticals
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock,$35.57,0.42,1.195%,9163566307.00,United States,2020,364373,Health Care,Major Pharmaceuticals
MYGN,Myriad Genetics Inc. Common Stock,$30.09,0.56,1.896%,2295781244.00,United States,1995,371836,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NARI,Inari Medical Inc. Common Stock,$109.24,0.26,0.239%,5407455157.00,United States,2020,254460,Health Care,Medical/Dental Instruments
NBIX,Neurocrine Biosciences Inc. Common Stock,$90.43,0.66,0.735%,8495323817.00,United States,1996,97621,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NEOG,Neogen Corporation Common Stock,$82.31,-0.69,-0.831%,4382518332.00,United States,1989,200829,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NGM,NGM Biopharmaceuticals Inc. Common Stock,$30.37,0.03,0.099%,2329148218.00,United States,2019,103474,Health Care,Major Pharmaceuticals
NKTR,Nektar Therapeutics  Common Stock,$22.309,0.209,0.946%,4066710822.00,United States,,248096,Health Care,Major Pharmaceuticals
NTRA,Natera Inc. Common Stock,$101.80,2.96,2.995%,8813303238.00,United States,2015,368748,Health Care,Medical Specialities
NUVA,NuVasive Inc. Common Stock,$67.44,0.21,0.312%,3465003267.00,United States,2004,363254,Health Care,Medical/Dental Instruments
NVAX,Novavax Inc. Common Stock,$219.96,2.70,1.243%,16245999685.00,United States,,769863,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVCR,NovoCure Limited Ordinary Shares,$141.29,3.53,2.562%,14469754462.00,Jersey,2015,153098,Health Care,Medical/Dental Instruments
OCDX,Ortho Clinical Diagnostics plc Ordinary Shares,$18.28,1.36,8.038%,4277237866.00,United States,2021,1390132,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
OM,Outset Medical Inc. Common Stock,$49.00,0.50,1.031%,2093378000.00,United States,2020,84677,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ONEM,1Life Healthcare Inc. Common Stock,$39.50,0.41,1.049%,5253999991.00,United States,2020,429229,Health Care,Medical/Nursing Services
OPCH,Option Care Health Inc. Common Stock,$18.77,-0.07,-0.372%,3375112328.00,United States,,414538,Health Care,Medical/Nursing Services
OPK,OPKO Health Inc. Common Stock,$4.86,0.23,4.968%,3256372039.00,United States,,2958554,Health Care,Major Pharmaceuticals
PCRX,Pacira BioSciences Inc. Common Stock,$69.615,0.105,0.151%,3053555255.00,United States,2011,256238,Health Care,Major Pharmaceuticals
PDCO,Patterson Companies Inc. Common Stock,$32.53,0.19,0.588%,3143536550.00,United States,1992,495412,Health Care,Medical Specialities
PGNY,Progyny Inc. Common Stock,$46.385,0.355,0.771%,4045511191.00,United States,2019,319100,Health Care,Misc Health and Biotechnology Services
PODD,Insulet Corporation Common Stock,$255.47,3.47,1.377%,16881540372.00,United States,2007,98895,Health Care,Medical/Dental Instruments
PPD,PPD Inc. Common Stock,$37.87,0.78,2.103%,13270736422.00,United States,2020,261793,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PRAH,PRA Health Sciences Inc. Common Stock,$148.73,1.00,0.677%,9599624361.00,United States,2014,128611,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PRLD,Prelude Therapeutics Incorporated Common Stock,$53.355,0.745,1.416%,2485189518.00,United States,2020,199021,Health Care,Major Pharmaceuticals
PTCT,PTC Therapeutics Inc. Common Stock,$56.07,0.56,1.009%,3942972482.00,United States,2013,269865,Health Care,Major Pharmaceuticals
QDEL,Quidel Corporation Common Stock,$137.32,2.64,1.96%,5811260872.00,United States,,239812,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$121.36,1.37,1.142%,8124960252.00,United States,2014,330202,Health Care,Major Pharmaceuticals
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$480.01,5.33,1.123%,51424382839.00,United States,1991,305131,Health Care,Major Pharmaceuticals
RGEN,Repligen Corporation Common Stock,$203.70,3.69,1.845%,11156922569.00,United States,1986,105796,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$45.86,-0.64,-1.376%,27842104498.00,United States,2020,1120779,Health Care,Major Pharmaceuticals
RVMD,Revolution Medicines Inc. Common Stock,$48.05,1.58,3.40%,3526063048.00,United States,2020,190550,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SANA,Sana Biotechnology Inc. Common Stock,$32.31,2.44,8.169%,6052948163.00,United States,2021,144034,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SDC,SmileDirectClub Inc. Class A Common Stock,$10.97,-0.13,-1.171%,4244755199.00,United States,2019,1200141,Health Care,Medical/Dental Instruments
SDGR,Schrodinger Inc. Common Stock,$78.89,2.60,3.408%,5523269243.00,United States,2020,304337,Health Care,Major Pharmaceuticals
SGEN,Seagen Inc. Common Stock,$146.51,1.60,1.104%,26542402983.00,United States,2001,383212,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SGRY,Surgery Partners Inc. Common Stock,$41.455,0.015,0.036%,2481480298.00,United States,2015,176373,Health Care,Hospital/Nursing Management
SHC,Sotera Health Company Common Stock,$25.92,0.30,1.171%,7332767171.00,United States,2020,1016057,Health Care,Misc Health and Biotechnology Services
SNY,Sanofi ADR,$49.49,0.38,0.774%,123619287776.00,France,,350078,Health Care,Major Pharmaceuticals
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$83.26,0.26,0.313%,6612562736.00,United States,,750263,Health Care,Major Pharmaceuticals
SRRK,Scholar Rock Holding Corporation Common Stock,$61.57,0.85,1.40%,2109555239.00,United States,2018,115068,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SWAV,ShockWave Medical Inc. Common Stock,$118.10,3.64,3.18%,4114928066.00,United States,2019,208448,Health Care,Medical/Dental Instruments
SWTX,SpringWorks Therapeutics Inc. Common Stock,$71.25,2.43,3.531%,3489548764.00,United States,2019,204670,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SYNH,Syneos Health Inc. Class A Common Stock,$77.56,1.30,1.705%,8042255656.00,United States,2014,144676,Health Care,Biotechnology: Commercial Physical & Biological Resarch
TECH,Bio-Techne Corp Common Stock,$374.00,0.01,0.003%,14510763916.00,United States,,47078,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TPTX,Turning Point Therapeutics Inc. Common Stock,$104.25,1.54,1.499%,5106154888.00,United States,2019,204563,Health Care,Major Pharmaceuticals
TWST,Twist Bioscience Corporation Common Stock,$133.12,8.81,7.087%,6475823811.00,United States,2018,422958,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UTHR,United Therapeutics Corporation Common Stock,$170.46,0.11,0.065%,7593027344.00,United States,1999,94274,Health Care,Major Pharmaceuticals
VIR,Vir Biotechnology Inc. Common Stock,$54.09,2.34,4.522%,6914693377.00,United States,2019,443574,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$213.83,0.47,0.22%,55587260057.00,United States,1991,544681,Health Care,Major Pharmaceuticals
VTRS,Viatris Inc. Common Stock,$14.605,0.015,0.103%,17629441724.00,United States,,2632154,Health Care,Major Pharmaceuticals
WBA,Walgreens Boots Alliance Inc. Common Stock,$53.26,0.56,1.063%,46018857480.00,United States,,1972104,Health Care,Medical/Nursing Services
XRAY,DENTSPLY SIRONA Inc. Common Stock,$62.61,-0.44,-0.698%,13714626460.00,United States,1987,366031,Health Care,Medical/Dental Instruments
